800	0	0.3048	71.3	0.00266337	126.201	252.402
1000	0	0.3048	71.3	0.00266337	125.201	250.402
1250	0	0.3048	71.3	0.00266337	125.951	251.902
1600	0	0.3048	71.3	0.00266337	127.591	255.182
2000	0	0.3048	71.3	0.00266337	127.461	254.922
2500	0	0.3048	71.3	0.00266337	125.571	251.142
3150	0	0.3048	71.3	0.00266337	125.201	250.402
4000	0	0.3048	71.3	0.00266337	123.061	246.122
5000	0	0.3048	71.3	0.00266337	121.301	242.602
6300	0	0.3048	71.3	0.00266337	119.541	239.082
8000	0	0.3048	71.3	0.00266337	117.151	234.302
10000	0	0.3048	71.3	0.00266337	115.391	230.782
12500	0	0.3048	71.3	0.00266337	112.241	224.482
16000	0	0.3048	71.3	0.00266337	108.721	217.442
500	0	0.3048	55.5	0.00283081	126.416	252.832
630	0	0.3048	55.5	0.00283081	127.696	255.392
800	0	0.3048	55.5	0.00283081	128.086	256.172
1000	0	0.3048	55.5	0.00283081	126.966	253.932
1250	0	0.3048	55.5	0.00283081	126.086	252.172
1600	0	0.3048	55.5	0.00283081	126.986	253.972
2000	0	0.3048	55.5	0.00283081	126.616	253.232
2500	0	0.3048	55.5	0.00283081	124.106	248.212
3150	0	0.3048	55.5	0.00283081	123.236	246.472
4000	0	0.3048	55.5	0.00283081	121.106	242.212
5000	0	0.3048	55.5	0.00283081	119.606	239.212
6300	0	0.3048	55.5	0.00283081	117.976	235.952
8000	0	0.3048	55.5	0.00283081	116.476	232.952
10000	0	0.3048	55.5	0.00283081	113.076	226.152
12500	0	0.3048	55.5	0.00283081	111.076	222.152
200	0	0.3048	39.6	0.00310138	118.129	236.258
250	0	0.3048	39.6	0.00310138	119.319	238.638
315	0	0.3048	39.6	0.00310138	122.779	245.558
400	0	0.3048	39.6	0.00310138	124.809	249.618
500	0	0.3048	39.6	0.00310138	126.959	253.918
630	0	0.3048	39.6	0.00310138	128.629	257.258
800	0	0.3048	39.6	0.00310138	129.099	258.198
1000	0	0.3048	39.6	0.00310138	127.899	255.798
1250	0	0.3048	39.6	0.00310138	125.499	250.998
1600	0	0.3048	39.6	0.00310138	124.049	248.098
2000	0	0.3048	39.6	0.00310138	123.689	247.378
2500	0	0.3048	39.6	0.00310138	121.399	242.798
3150	0	0.3048	39.6	0.00310138	120.319	240.638
4000	0	0.3048	39.6	0.00310138	119.229	238.458
5000	0	0.3048	39.6	0.00310138	117.789	235.578
6300	0	0.3048	39.6	0.00310138	116.229	232.458
8000	0	0.3048	39.6	0.00310138	114.779	229.558
10000	0	0.3048	39.6	0.00310138	112.139	224.278
12500	0	0.3048	39.6	0.00310138	109.619	219.238
200	0	0.3048	31.7	0.00331266	117.195	234.390
250	0	0.3048	31.7	0.00331266	118.595	237.190
315	0	0.3048	31.7	0.00331266	122.765	245.530
400	0	0.3048	31.7	0.00331266	125.045	250.090
500	0	0.3048	31.7	0.00331266	127.315	254.630
630	0	0.3048	31.7	0.00331266	129.095	258.190
800	0	0.3048	31.7	0.00331266	129.235	258.470
1000	0	0.3048	31.7	0.00331266	127.365	254.730
1250	0	0.3048	31.7	0.00331266	124.355	248.710
1600	0	0.3048	31.7	0.00331266	122.365	244.730
2000	0	0.3048	31.7	0.00331266	122.375	244.750
2500	0	0.3048	31.7	0.00331266	120.755	241.510
3150	0	0.3048	31.7	0.00331266	119.135	238.270
4000	0	0.3048	31.7	0.00331266	118.145	236.290
5000	0	0.3048	31.7	0.00331266	115.645	231.290
6300	0	0.3048	31.7	0.00331266	113.775	227.550
8000	0	0.3048	31.7	0.00331266	110.515	221.030
10000	0	0.3048	31.7	0.00331266	108.265	216.530
800	1.5	0.3048	71.3	0.00336729	127.122	254.244
1000	1.5	0.3048	71.3	0.00336729	125.992	251.984
1250	1.5	0.3048	71.3	0.00336729	125.872	251.744
1600	1.5	0.3048	71.3	0.00336729	126.632	253.264
2000	1.5	0.3048	71.3	0.00336729	126.642	253.284
2500	1.5	0.3048	71.3	0.00336729	124.512	249.024
3150	1.5	0.3048	71.3	0.00336729	123.392	246.784
4000	1.5	0.3048	71.3	0.00336729	121.762	243.524
5000	1.5	0.3048	71.3	0.00336729	119.632	239.264
6300	1.5	0.3048	71.3	0.00336729	118.122	236.244
8000	1.5	0.3048	71.3	0.00336729	115.372	230.744
10000	1.5	0.3048	71.3	0.00336729	113.492	226.984
12500	1.5	0.3048	71.3	0.00336729	109.222	218.444
16000	1.5	0.3048	71.3	0.00336729	106.582	213.164
315	1.5	0.3048	39.6	0.00392107	121.851	243.702
400	1.5	0.3048	39.6	0.00392107	124.001	248.002
500	1.5	0.3048	39.6	0.00392107	126.661	253.322
630	1.5	0.3048	39.6	0.00392107	128.311	256.622
800	1.5	0.3048	39.6	0.00392107	128.831	257.662
1000	1.5	0.3048	39.6	0.00392107	127.581	255.162
1250	1.5	0.3048	39.6	0.00392107	125.211	250.422
1600	1.5	0.3048	39.6	0.00392107	122.211	244.422
2000	1.5	0.3048	39.6	0.00392107	122.101	244.202
2500	1.5	0.3048	39.6	0.00392107	120.981	241.962
3150	1.5	0.3048	39.6	0.00392107	119.111	238.222
4000	1.5	0.3048	39.6	0.00392107	117.741	235.482
5000	1.5	0.3048	39.6	0.00392107	116.241	232.482
6300	1.5	0.3048	39.6	0.00392107	114.751	229.502
8000	1.5	0.3048	39.6	0.00392107	112.251	224.502
10000	1.5	0.3048	39.6	0.00392107	108.991	217.982
12500	1.5	0.3048	39.6	0.00392107	106.111	212.222
400	3	0.3048	71.3	0.00425727	127.564	255.128
500	3	0.3048	71.3	0.00425727	128.454	256.908
630	3	0.3048	71.3	0.00425727	129.354	258.708
800	3	0.3048	71.3	0.00425727	129.494	258.988
1000	3	0.3048	71.3	0.00425727	129.004	258.008
1250	3	0.3048	71.3	0.00425727	127.634	255.268
1600	3	0.3048	71.3	0.00425727	126.514	253.028
2000	3	0.3048	71.3	0.00425727	125.524	251.048
2500	3	0.3048	71.3	0.00425727	124.024	248.048
3150	3	0.3048	71.3	0.00425727	121.514	243.028
4000	3	0.3048	71.3	0.00425727	120.264	240.528
5000	3	0.3048	71.3	0.00425727	118.134	236.268
6300	3	0.3048	71.3	0.00425727	116.134	232.268
8000	3	0.3048	71.3	0.00425727	114.634	229.268
10000	3	0.3048	71.3	0.00425727	110.224	220.448
400	3	0.3048	55.5	0.00452492	126.159	252.318
500	3	0.3048	55.5	0.00452492	128.179	256.358
630	3	0.3048	55.5	0.00452492	129.569	259.138
800	3	0.3048	55.5	0.00452492	129.949	259.898
1000	3	0.3048	55.5	0.00452492	129.329	258.658
1250	3	0.3048	55.5	0.00452492	127.329	254.658
1600	3	0.3048	55.5	0.00452492	124.439	248.878
2000	3	0.3048	55.5	0.00452492	123.069	246.138
2500	3	0.3048	55.5	0.00452492	122.439	244.878
